GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bytebattlers,com.codecool.bytebattlers.controller,VAllBoardGameController,178,6,18,0,27,3,18,1,9,1
Bytebattlers,com.codecool.bytebattlers.controller,ReviewController,56,6,4,0,9,3,6,1,4,1
Bytebattlers,com.codecool.bytebattlers.controller,UserController,154,6,16,0,31,3,15,1,7,1
Bytebattlers,com.codecool.bytebattlers.controller,RatingController,51,9,4,0,7,4,5,1,3,1
Bytebattlers,com.codecool.bytebattlers.controller,BoardGameController,233,9,18,0,36,4,21,1,12,1
Bytebattlers,com.codecool.bytebattlers.controller,PublisherController,62,6,4,0,11,3,7,1,5,1
Bytebattlers,com.codecool.bytebattlers.controller,CategoryController,56,6,4,0,9,3,6,1,4,1
Bytebattlers,com.codecool.bytebattlers.service,ReviewService,80,15,0,0,16,6,4,1,4,1
Bytebattlers,com.codecool.bytebattlers.service,CategoryService,41,9,0,0,9,4,4,1,4,1
Bytebattlers,com.codecool.bytebattlers.service,UserService,246,24,2,0,51,9,13,1,12,1
Bytebattlers,com.codecool.bytebattlers.service,AppUserDetailService,34,6,2,0,6,1,2,1,1,1
Bytebattlers,com.codecool.bytebattlers.service,VAllBoardGameService,153,9,4,0,30,4,12,1,10,1
Bytebattlers,com.codecool.bytebattlers.service,PublisherService,15,55,0,0,3,12,1,6,1,6
Bytebattlers,com.codecool.bytebattlers.service,RatingService,72,15,0,0,14,6,5,1,5,1
Bytebattlers,com.codecool.bytebattlers.service,BoardGameService,217,41,4,0,43,13,14,3,12,3
Bytebattlers,com.codecool.bytebattlers.controller.dto,VAllBoardGameDto,36,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,BoardGameDto.RatingDto,6,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,AppUserDto,21,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,BoardGameDto.CategoryDto1,12,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,BoardGameDto.ReviewDto1,9,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,PublisherDto.BoardGameDto1,27,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,PublisherDto,0,12,0,0,0,1,0,1,0,1
Bytebattlers,com.codecool.bytebattlers.controller.dto,RatingDto,21,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,CategoryDto,15,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,AppUserDto.ReviewDto1,9,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,CategoryDto.BoardGameDto1,27,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,BoardGameDto,42,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.dto,ReviewDto,18,0,0,0,1,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers.controller.exception,ErrorMessage,27,0,0,0,10,0,5,0,5,0
Bytebattlers,com.codecool.bytebattlers.controller.exception,ControllerExceptionHandler,40,3,0,0,10,1,2,1,2,1
Bytebattlers,com.codecool.bytebattlers.controller.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
Bytebattlers,com.codecool.bytebattlers,ByteBattlersApplication,5,7,0,0,2,2,1,2,1,2
Bytebattlers,com.codecool.bytebattlers.model,BoardGame,83,31,0,0,13,6,24,3,24,3
Bytebattlers,com.codecool.bytebattlers.model,Role,0,15,0,0,0,3,0,1,0,1
Bytebattlers,com.codecool.bytebattlers.model,Publisher,24,12,0,0,4,3,7,2,7,2
Bytebattlers,com.codecool.bytebattlers.model,AuthenticationResponse.AuthenticationResponseBuilder,18,0,0,0,1,0,4,0,4,0
Bytebattlers,com.codecool.bytebattlers.model,VAllBoardGame,80,0,0,0,13,0,23,0,23,0
Bytebattlers,com.codecool.bytebattlers.model,AppUser,63,18,0,0,10,4,18,1,18,1
Bytebattlers,com.codecool.bytebattlers.model,Category,100,11,16,0,13,4,20,1,12,1
Bytebattlers,com.codecool.bytebattlers.model,AuthenticationResponse,85,0,14,0,5,0,16,0,9,0
Bytebattlers,com.codecool.bytebattlers.model,Review,100,6,16,0,13,3,20,1,12,1
